2011-10-20 23:57:56 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-20 23:57:56 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-20 23:57:56 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-20 23:57:56 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-20 23:58:32 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-20 23:58:32 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-20 23:58:32 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-20 23:58:32 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-21 00:00:09 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-21 00:00:09 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-21 00:00:09 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-21 00:00:09 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-21 00:00:11 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-21 00:00:11 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-21 00:00:11 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
2011-10-21 00:00:11 Notice: Notice (8): Undefined index:  applanguage in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 16]
2011-10-21 00:00:41 Notice: Notice (8): Undefined index:  email in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 13]
2011-10-21 00:00:41 Notice: Notice (8): Undefined index:  password in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 14]
2011-10-21 00:00:41 Notice: Notice (8): Undefined index:  deviceid in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 15]
